day_num,day_name,month,avg_in,total_in
3,Thursday,2025-01,1385.0,6925
4,Friday,2025-01,1479.6,7398
5,Saturday,2025-01,1434.5,5738
0,Monday,2025-01,1436.0,5744
1,Tuesday,2025-01,1405.8,5623
2,Wednesday,2025-01,1199.2,5996
5,Saturday,2025-02,1226.2,4905
0,Monday,2025-02,1324.2,5297
1,Tuesday,2025-02,1558.5,6234
2,Wednesday,2025-02,1527.5,6110
3,Thursday,2025-02,1460.2,5841
4,Friday,2025-02,1404.5,5618
5,Saturday,2025-03,1071.8,5359
0,Monday,2025-03,1283.6,6418
1,Tuesday,2025-03,1077.5,4310
2,Wednesday,2025-03,1170.2,4681
3,Thursday,2025-03,1129.8,4519
4,Friday,2025-03,1263.0,5052
1,Tuesday,2025-04,1392.2,6961
2,Wednesday,2025-04,1603.0,8015
3,Thursday,2025-04,1470.5,5882
4,Friday,2025-04,1201.0,4804
5,Saturday,2025-04,1082.0,4328
0,Monday,2025-04,1380.0,5520
3,Thursday,2025-05,1462.0,7310
4,Friday,2025-05,1279.6,6398
5,Saturday,2025-05,1167.8,5839
0,Monday,2025-05,1212.0,3636
1,Tuesday,2025-05,1316.0,5264
2,Wednesday,2025-05,1261.5,5046
0,Monday,2025-06,1285.2,6426
1,Tuesday,2025-06,1202.0,4808
2,Wednesday,2025-06,1217.8,4871
3,Thursday,2025-06,1153.0,4612
4,Friday,2025-06,1167.2,4669
5,Saturday,2025-06,1120.0,4480
1,Tuesday,2025-07,1165.0,5825
2,Wednesday,2025-07,1291.4,6457
3,Thursday,2025-07,1147.5,4590
5,Saturday,2025-07,1099.8,4399
0,Monday,2025-07,1201.2,4805
4,Friday,2025-07,1194.7,3584
4,Friday,2025-08,1284.4,6422
5,Saturday,2025-08,1120.4,5602
0,Monday,2025-08,1440.2,5761
1,Tuesday,2025-08,1362.0,5448
2,Wednesday,2025-08,1381.8,5527
3,Thursday,2025-08,1373.0,5492
1,Tuesday,2025-09,1148.6,5743
2,Wednesday,2025-09,1219.0,4876
3,Thursday,2025-09,1171.2,4685
4,Friday,2025-09,1160.0,4640
5,Saturday,2025-09,1059.2,4237
0,Monday,2025-09,1202.5,4810
2,Wednesday,2025-10,1260.0,6300
3,Thursday,2025-10,1215.4,6077
4,Friday,2025-10,1110.0,5550
5,Saturday,2025-10,878.8,3515
0,Monday,2025-10,1147.2,4589
1,Tuesday,2025-10,1284.0,5136
5,Saturday,2025-11,916.8,4584
0,Monday,2025-11,1166.8,4667
1,Tuesday,2025-11,1073.0,4292
2,Wednesday,2025-11,1113.2,4453
3,Thursday,2025-11,1216.7,3650
4,Friday,2025-11,1174.0,4696
0,Monday,2025-12,1319.6,6598
1,Tuesday,2025-12,1244.2,6221
2,Wednesday,2025-12,1210.8,6054
3,Thursday,2025-12,1284.3,3853
4,Friday,2025-12,1214.8,4859
5,Saturday,2025-12,1028.0,4112
4,Friday,2026-01,1214.6,6073
5,Saturday,2026-01,988.2,4941
0,Monday,2026-01,1167.5,4670
1,Tuesday,2026-01,1309.8,5239
2,Wednesday,2026-01,1227.8,4911
3,Thursday,2026-01,1254.2,5017
6,Sunday,2025-06,3.0,3
0,Monday,2026-02,1296.5,5186
1,Tuesday,2026-02,1364.2,5457
2,Wednesday,2026-02,1207.2,4829
3,Thursday,2026-02,1258.5,5034
4,Friday,2026-02,1237.8,4951
5,Saturday,2026-02,1034.2,4137
0,Monday,2026-03,1290.0,6450
1,Tuesday,2026-03,1326.2,6631
2,Wednesday,2026-03,1274.5,5098
3,Thursday,2026-03,1326.0,5304
4,Friday,2026-03,1244.8,4979
5,Saturday,2026-03,1130.5,4522
