route,day_num,day_name,month,avg_in,total_in
Route 1 Red Cliffs,3,Thursday,2025-01,254.8,1274
Route 3 West Side Connector,3,Thursday,2025-01,287.8,1439
Route 4 Sunset,3,Thursday,2025-01,201.6,1008
Route 2 Riverside,3,Thursday,2025-01,271.2,1356
Route 6 Dixie Dr South,3,Thursday,2025-01,102.4,512
Route 5 Ivins,3,Thursday,2025-01,77.0,385
Route 7 Washington,3,Thursday,2025-01,102.4,512
Route 8 Zion,3,Thursday,2025-01,87.6,438
Route 1 Red Cliffs,4,Friday,2025-01,283.4,1417
Route 3 West Side Connector,4,Friday,2025-01,279.8,1399
Route 4 Sunset,4,Friday,2025-01,223.4,1117
Route 2 Riverside,4,Friday,2025-01,272.4,1362
Route 6 Dixie Dr South,4,Friday,2025-01,120.8,604
Route 5 Ivins,4,Friday,2025-01,81.8,409
Route 7 Washington,4,Friday,2025-01,119.4,597
Route 8 Zion,4,Friday,2025-01,98.4,492
Route 1 Red Cliffs,5,Saturday,2025-01,257.0,1028
Route 3 West Side Connector,5,Saturday,2025-01,288.0,1152
Route 4 Sunset,5,Saturday,2025-01,195.0,780
Route 2 Riverside,5,Saturday,2025-01,289.0,1156
Route 6 Dixie Dr South,5,Saturday,2025-01,107.0,428
Route 5 Ivins,5,Saturday,2025-01,76.5,306
Route 7 Washington,5,Saturday,2025-01,114.5,458
Route 8 Zion,5,Saturday,2025-01,107.8,431
Route 1 Red Cliffs,0,Monday,2025-01,272.5,1090
Route 3 West Side Connector,0,Monday,2025-01,280.0,1120
Route 4 Sunset,0,Monday,2025-01,210.0,840
Route 2 Riverside,0,Monday,2025-01,275.0,1100
Route 6 Dixie Dr South,0,Monday,2025-01,106.0,424
Route 5 Ivins,0,Monday,2025-01,81.2,325
Route 7 Washington,0,Monday,2025-01,111.5,446
Route 8 Zion,0,Monday,2025-01,100.0,400
Route 1 Red Cliffs,1,Tuesday,2025-01,257.8,1031
Route 3 West Side Connector,1,Tuesday,2025-01,300.5,1202
Route 4 Sunset,1,Tuesday,2025-01,204.0,816
Route 2 Riverside,1,Tuesday,2025-01,266.8,1067
Route 6 Dixie Dr South,1,Tuesday,2025-01,106.8,427
Route 5 Ivins,1,Tuesday,2025-01,78.2,313
Route 7 Washington,1,Tuesday,2025-01,98.8,395
Route 8 Zion,1,Tuesday,2025-01,93.0,372
