route,hour,total_in
Route 1 Red Cliffs (B),0,0
Route 1 Red Cliffs (B),1,0
Route 1 Red Cliffs (B),2,0
Route 1 Red Cliffs (B),3,0
Route 1 Red Cliffs (B),4,0
Route 1 Red Cliffs (B),5,0
Route 1 Red Cliffs (B),6,126
Route 1 Red Cliffs (B),7,170
Route 1 Red Cliffs (B),8,233
Route 1 Red Cliffs (B),9,151
Route 1 Red Cliffs (B),10,208
Route 1 Red Cliffs (B),11,267
Route 1 Red Cliffs (B),12,278
Route 1 Red Cliffs (B),13,275
Route 1 Red Cliffs (B),14,260
Route 1 Red Cliffs (B),15,340
Route 1 Red Cliffs (B),16,407
Route 1 Red Cliffs (B),17,303
Route 1 Red Cliffs (B),18,248
Route 1 Red Cliffs (B),19,125
Route 1 Red Cliffs (B),20,109
Route 1 Red Cliffs (B),21,20
Route 1 Red Cliffs (B),22,0
Route 1 Red Cliffs (B),23,0
Route 1 Red Cliffs (B),0,0
Route 1 Red Cliffs (B),1,0
Route 1 Red Cliffs (B),2,0
Route 1 Red Cliffs (B),3,0
Route 1 Red Cliffs (B),4,0
Route 1 Red Cliffs (B),5,0
Route 1 Red Cliffs (B),6,126
Route 1 Red Cliffs (B),7,169
Route 1 Red Cliffs (B),8,224
Route 1 Red Cliffs (B),9,152
Route 1 Red Cliffs (B),10,209
Route 1 Red Cliffs (B),11,263
Route 1 Red Cliffs (B),12,279
Route 1 Red Cliffs (B),13,269
Route 1 Red Cliffs (B),14,273
Route 1 Red Cliffs (B),15,339
Route 1 Red Cliffs (B),16,407
Route 1 Red Cliffs (B),17,306
Route 1 Red Cliffs (B),18,251
Route 1 Red Cliffs (B),19,126
Route 1 Red Cliffs (B),20,112
Route 1 Red Cliffs (B),21,20
Route 1 Red Cliffs (B),22,0
Route 1 Red Cliffs (B),23,0
Route 1 Red Cliffs (B),0,0
Route 1 Red Cliffs (B),1,0
Route 1 Red Cliffs (B),2,0
Route 1 Red Cliffs (B),3,0
Route 1 Red Cliffs (B),4,0
Route 1 Red Cliffs (B),5,0
Route 1 Red Cliffs (B),6,126
Route 1 Red Cliffs (B),7,175
Route 1 Red Cliffs (B),8,232
Route 1 Red Cliffs (B),9,178
Route 1 Red Cliffs (B),10,210
Route 1 Red Cliffs (B),11,274
Route 1 Red Cliffs (B),12,283
Route 1 Red Cliffs (B),13,275
Route 1 Red Cliffs (B),14,267
Route 1 Red Cliffs (B),15,343
Route 1 Red Cliffs (B),16,412
Route 1 Red Cliffs (B),17,316
Route 1 Red Cliffs (B),18,241
Route 1 Red Cliffs (B),19,125
Route 1 Red Cliffs (B),20,109
Route 1 Red Cliffs (B),21,25
Route 1 Red Cliffs (B),22,0
Route 1 Red Cliffs (B),23,0
Route 1 Red Cliffs (B),0,0
Route 1 Red Cliffs (B),1,0
Route 1 Red Cliffs (B),2,0
Route 1 Red Cliffs (B),3,0
Route 1 Red Cliffs (B),4,0
Route 1 Red Cliffs (B),5,0
Route 1 Red Cliffs (B),6,127
Route 1 Red Cliffs (B),7,170
Route 1 Red Cliffs (B),8,224
Route 1 Red Cliffs (B),9,152
Route 1 Red Cliffs (B),10,218
Route 1 Red Cliffs (B),11,280
Route 1 Red Cliffs (B),12,309
Route 1 Red Cliffs (B),13,283
Route 1 Red Cliffs (B),14,290
Route 1 Red Cliffs (B),15,350
Route 1 Red Cliffs (B),16,449
Route 1 Red Cliffs (B),17,324
Route 1 Red Cliffs (B),18,252
Route 1 Red Cliffs (B),19,135
Route 1 Red Cliffs (B),20,122
Route 1 Red Cliffs (B),21,29
Route 1 Red Cliffs (B),22,0
Route 1 Red Cliffs (B),23,0
Route 1 Red Cliffs (B),0,0
Route 1 Red Cliffs (B),1,0
Route 1 Red Cliffs (B),2,0
Route 1 Red Cliffs (B),3,0
Route 1 Red Cliffs (B),4,0
Route 1 Red Cliffs (B),5,0
Route 1 Red Cliffs (B),6,126
Route 1 Red Cliffs (B),7,177
Route 1 Red Cliffs (B),8,231
Route 1 Red Cliffs (B),9,168
Route 1 Red Cliffs (B),10,214
Route 1 Red Cliffs (B),11,270
Route 1 Red Cliffs (B),12,289
Route 1 Red Cliffs (B),13,277
Route 1 Red Cliffs (B),14,266
Route 1 Red Cliffs (B),15,347
Route 1 Red Cliffs (B),16,413
Route 1 Red Cliffs (B),17,309
Route 1 Red Cliffs (B),18,247
Route 1 Red Cliffs (B),19,132
Route 1 Red Cliffs (B),20,114
Route 1 Red Cliffs (B),21,20
Route 1 Red Cliffs (B),22,0
Route 1 Red Cliffs (B),23,0
Route 1 Red Cliffs (B),0,0
Route 1 Red Cliffs (B),1,0
Route 1 Red Cliffs (B),2,0
Route 1 Red Cliffs (B),3,0
Route 1 Red Cliffs (B),4,0
Route 1 Red Cliffs (B),5,0
Route 1 Red Cliffs (B),6,132
Route 1 Red Cliffs (B),7,169
Route 1 Red Cliffs (B),8,228
Route 1 Red Cliffs (B),9,155
Route 1 Red Cliffs (B),10,206
Route 1 Red Cliffs (B),11,262
Route 1 Red Cliffs (B),12,276
Route 1 Red Cliffs (B),13,269
Route 1 Red Cliffs (B),14,259
Route 1 Red Cliffs (B),15,337
Route 1 Red Cliffs (B),16,403
Route 1 Red Cliffs (B),17,300
Route 1 Red Cliffs (B),18,243
Route 1 Red Cliffs (B),19,125
Route 1 Red Cliffs (B),20,109
Route 1 Red Cliffs (B),21,21
Route 1 Red Cliffs (B),22,0
Route 1 Red Cliffs (B),23,0
Route 1 Red Cliffs (B),0,0
Route 1 Red Cliffs (B),1,0
Route 1 Red Cliffs (B),2,0
Route 1 Red Cliffs (B),3,0
Route 1 Red Cliffs (B),4,0
Route 1 Red Cliffs (B),5,0
Route 1 Red Cliffs (B),6,126
Route 1 Red Cliffs (B),7,169
Route 1 Red Cliffs (B),8,225
Route 1 Red Cliffs (B),9,151
Route 1 Red Cliffs (B),10,207
Route 1 Red Cliffs (B),11,262
Route 1 Red Cliffs (B),12,277
Route 1 Red Cliffs (B),13,269
Route 1 Red Cliffs (B),14,259
Route 1 Red Cliffs (B),15,337
Route 1 Red Cliffs (B),16,403
Route 1 Red Cliffs (B),17,300
Route 1 Red Cliffs (B),18,241
Route 1 Red Cliffs (B),19,125
Route 1 Red Cliffs (B),20,109
Route 1 Red Cliffs (B),21,20
Route 1 Red Cliffs (B),22,0
Route 1 Red Cliffs (B),23,0
Route 1 Red Cliffs (B),0,0
