route,month,total_in,total_out,unique_days,avg_daily_in,avg_daily_out
Route 1 Red Cliffs (A),2025-01,2958,3502,26,113.77,134.69
Route 1 Red Cliffs (A),2025-02,2695,3085,24,112.29,128.54
Route 1 Red Cliffs (A),2025-03,2467,2350,26,94.88,90.38
Route 1 Red Cliffs (A),2025-04,2763,2791,26,106.27,107.35
Route 1 Red Cliffs (A),2025-05,2732,2825,26,105.08,108.65
Route 1 Red Cliffs (A),2025-06,2334,2502,25,93.36,100.08
Route 1 Red Cliffs (A),2025-07,1919,2364,25,76.76,94.56
Route 1 Red Cliffs (A),2025-08,2904,3321,26,111.69,127.73
Route 1 Red Cliffs (A),2025-09,2846,2811,25,113.84,112.44
Route 1 Red Cliffs (A),2025-10,3058,2845,27,113.26,105.37
Route 1 Red Cliffs (A),2025-11,2480,2391,24,103.33,99.62
Route 1 Red Cliffs (A),2025-12,3094,3338,26,119.0,128.38
Route 1 Red Cliffs (A),2026-01,3269,3406,26,125.73,131.0
Route 1 Red Cliffs (A),2026-02,442,468,4,110.5,117.0
Route 1 Red Cliffs (B),2025-01,3659,3453,26,140.73,132.81
Route 1 Red Cliffs (B),2025-02,3067,2952,24,127.79,123.0
Route 1 Red Cliffs (B),2025-03,3102,2532,26,119.31,97.38
Route 1 Red Cliffs (B),2025-04,3567,3093,26,137.19,118.96
Route 1 Red Cliffs (B),2025-05,3154,2667,26,121.31,102.58
Route 1 Red Cliffs (B),2025-06,2552,2213,25,102.08,88.52
Route 1 Red Cliffs (B),2025-07,2632,2540,25,105.28,101.6
Route 1 Red Cliffs (B),2025-08,3027,2651,26,116.42,101.96
Route 1 Red Cliffs (B),2025-09,2959,1834,25,118.36,73.36
Route 1 Red Cliffs (B),2025-10,3661,2330,27,135.59,86.3
Route 1 Red Cliffs (B),2025-11,3007,1993,24,125.29,83.04
Route 1 Red Cliffs (B),2025-12,3247,2379,26,124.88,91.5
Route 1 Red Cliffs (B),2026-01,3206,2339,26,123.31,89.96
Route 1 Red Cliffs (B),2026-02,412,277,4,103.0,69.25
Route 2 Riverside,2025-01,6604,7310,26,254.0,281.15
Route 2 Riverside,2025-02,7663,7929,24,319.29,330.38
Route 2 Riverside,2025-03,6551,7804,26,251.96,300.15
Route 2 Riverside,2025-04,6648,8340,26,255.69,320.77
Route 2 Riverside,2025-05,7674,9789,26,295.15,376.5
Route 2 Riverside,2025-06,6418,8053,25,256.72,322.12
Route 2 Riverside,2025-07,5822,6923,25,232.88,276.92
Route 2 Riverside,2025-08,5448,5768,26,209.54,221.85
Route 2 Riverside,2025-09,5792,6370,25,231.68,254.8
Route 2 Riverside,2025-10,5769,6747,27,213.67,249.89
Route 2 Riverside,2025-11,5074,5816,24,211.42,242.33
Route 2 Riverside,2025-12,5151,5998,26,198.12,230.69
Route 2 Riverside,2026-01,5151,5989,26,198.12,230.35
Route 2 Riverside,2026-02,710,787,4,177.5,196.75
Route 3 West Side Connector (Inbound),2025-01,3879,3798,26,149.19,146.08
Route 3 West Side Connector (Inbound),2025-02,3048,3024,24,127.0,126.0
Route 3 West Side Connector (Inbound),2025-03,2616,2566,26,100.62,98.69
Route 3 West Side Connector (Inbound),2025-04,2889,3062,26,111.12,117.77
Route 3 West Side Connector (Inbound),2025-05,2373,2288,26,91.27,88.0
Route 3 West Side Connector (Inbound),2025-06,2322,2454,25,92.88,98.16
Route 3 West Side Connector (Inbound),2025-07,2667,2668,25,106.68,106.72
