route,stop_id,address,month,total_in,total_out,unique_days,avg_daily_in,avg_daily_out,days
Route 1 Red Cliffs,143486,449 North 2450 East,2025-01,77,102,26.0,2.96,3.92,
Route 1 Red Cliffs,143486,449 North 2450 East,2025-02,65,75,23.0,2.83,3.26,
Route 1 Red Cliffs,143486,449 North 2450 East,2025-03,54,78,25.0,2.16,3.12,
Route 1 Red Cliffs,143486,449 North 2450 East,2025-04,105,120,26.0,4.04,4.62,
Route 1 Red Cliffs,143486,449 North 2450 East,2025-05,81,82,26.0,3.12,3.15,
Route 1 Red Cliffs,143486,449 North 2450 East,2025-06,61,50,24.0,2.54,2.08,
Route 1 Red Cliffs,143486,449 North 2450 East,2025-07,65,66,24.0,2.71,2.75,
Route 1 Red Cliffs,143486,449 North 2450 East,2025-08,81,79,26.0,3.12,3.04,
Route 1 Red Cliffs,143486,449 North 2450 East,2025-09,64,72,25.0,2.56,2.88,
Route 1 Red Cliffs,143486,449 North 2450 East,2025-10,93,99,27.0,3.44,3.67,
Route 1 Red Cliffs,143486,449 North 2450 East,2025-11,64,66,24.0,2.67,2.75,
Route 1 Red Cliffs,143486,449 North 2450 East,2025-12,64,56,24.0,2.67,2.33,
Route 1 Red Cliffs,143486,449 North 2450 East,2026-01,63,66,26.0,2.42,2.54,
Route 1 Red Cliffs,143497,Security Service Credit Union,2025-01,126,206,26.0,4.85,7.92,
Route 1 Red Cliffs,143497,Security Service Credit Union,2025-02,121,225,24.0,5.04,9.38,
Route 1 Red Cliffs,143497,Security Service Credit Union,2025-03,131,234,26.0,5.04,9.0,
Route 1 Red Cliffs,143497,Security Service Credit Union,2025-04,110,257,26.0,4.23,9.88,
Route 1 Red Cliffs,143497,Security Service Credit Union,2025-05,128,194,26.0,4.92,7.46,
Route 1 Red Cliffs,143497,Security Service Credit Union,2025-06,103,181,25.0,4.12,7.24,
Route 1 Red Cliffs,143497,Security Service Credit Union,2025-07,130,148,25.0,5.2,5.92,
Route 1 Red Cliffs,143497,Security Service Credit Union,2025-08,157,226,26.0,6.04,8.69,
Route 1 Red Cliffs,143497,Security Service Credit Union,2025-09,123,197,25.0,4.92,7.88,
Route 1 Red Cliffs,143497,Security Service Credit Union,2025-10,132,201,27.0,4.89,7.44,
Route 1 Red Cliffs,143497,Security Service Credit Union,2025-11,124,141,24.0,5.17,5.88,
Route 1 Red Cliffs,143497,Security Service Credit Union,2025-12,32,154,26.0,1.23,5.92,
Route 1 Red Cliffs,143497,Security Service Credit Union,2026-01,64,142,26.0,2.46,5.46,
Route 1 Red Cliffs,143516,245 North 2450 East,2025-01,85,72,26.0,3.27,2.77,
Route 1 Red Cliffs,143516,245 North 2450 East,2025-02,62,55,24.0,2.58,2.29,
Route 1 Red Cliffs,143516,245 North 2450 East,2025-03,70,51,26.0,2.69,1.96,
Route 1 Red Cliffs,143516,245 North 2450 East,2025-04,68,88,26.0,2.62,3.38,
Route 1 Red Cliffs,143516,245 North 2450 East,2025-05,70,95,24.0,2.92,3.96,
Route 1 Red Cliffs,143516,245 North 2450 East,2025-06,75,59,25.0,3.0,2.36,
Route 1 Red Cliffs,143516,245 North 2450 East,2025-07,91,71,25.0,3.64,2.84,
Route 1 Red Cliffs,143516,245 North 2450 East,2025-08,119,82,26.0,4.58,3.15,
Route 1 Red Cliffs,143516,245 North 2450 East,2025-09,148,98,25.0,5.92,3.92,
