hub_name,latitude,longitude
Utah Tech University,37.109359,-113.568469
St George Regional Hospital,37.09841,-113.55388
Red Cliffs Mall,37.11605,-113.54556
Washington City Commercial,37.13031,-113.50988
Downtown St George,37.10997,-113.58854
Zion Factory Stores,37.1114,-113.55338
Sunset Commercial Corridor,37.12273,-113.61596
Bloomington Commerce Center,37.0734,-113.5675
Black Desert Resort,37.01982,-113.60098
Medical Arts Complex,37.09891,-113.57573
St George Regional Airport,37.03074,-113.50889
Walmart Supercenter Sunset Blvd,37.12279,-113.62033
Walmart Supercenter River Rd,37.12693,-113.52375
Costco Wholesale,37.08666,-113.57185
Washington County School District,37.10791,-113.58588
Ft Pierce Industrial Park,37.135,-113.55
Tech Ridge Business Park,37.1295,-113.53
