route_id,route_name,direction,stop_name,order,early_pct,ontime_pct,late_pct,avg_deviation,total_trips
R1,Route 1 Red Cliffs,,449 North 2450 East,0,0.21,94.0,5.78,-1.425,467
R1,Route 1 Red Cliffs,,Security Service Credit Union,0,18.24,79.1,2.66,-0.15,488
R1,Route 1 Red Cliffs,,245 North 2450 East,0,0.0,96.41,3.59,-1.62,390
R1,Route 1 Red Cliffs,,Barnes and Noble,0,5.91,89.55,4.55,-1.051,220
R1,Route 1 Red Cliffs,,Mill Creek High School,0,4.58,93.68,1.74,-0.318,459
R1,Route 1 Red Cliffs,,Transit Center,0,32.06,67.22,0.72,0.112,418
R1,Route 1 Red Cliffs,,40 North Mall Drive,0,23.55,76.45,0.0,1.031,310
R1,Route 1 Red Cliffs,,Good Shepherd Church,0,1.34,97.32,1.34,0.427,448
R1,Route 1 Red Cliffs,,Fossil Ridge School,0,8.21,90.71,1.08,0.066,463
R1,Route 1 Red Cliffs,,Deseret Industries,0,37.42,62.37,0.21,0.683,473
R1,Route 1 Red Cliffs,,110 South Mall Drive,0,11.82,84.73,3.45,-0.941,203
R1,Route 1 Red Cliffs,,Zion Medical Center,0,31.87,66.59,1.54,0.496,455
R1,Route 1 Red Cliffs,,25 North 2450 East,0,0.0,100.0,0.0,-0.098,147
R1,Route 1 Red Cliffs,,Promenade 245 North Red Cliffs Dr (Red Lobster),0,22.15,77.85,0.0,0.983,307
R3,Route 3 West Side Connector,,465 East Tabernacle,0,0.75,99.25,0.0,-0.176,399
R3,Route 3 West Side Connector,,Transit Center,0,22.26,53.49,24.25,-1.549,602
R3,Route 3 West Side Connector,,402 North 500 West,0,0.2,99.8,0.0,-0.63,491
R3,Route 3 West Side Connector,,Sunset Corner,0,4.26,95.19,0.56,-0.973,540
R3,Route 3 West Side Connector,,Subway Outbound,0,0.43,99.57,0.0,-0.516,470
R3,Route 3 West Side Connector,,SW Behavioral Health Center,0,2.47,97.53,0.0,-0.313,364
R3,Route 3 West Side Connector,,245 East Tabernacle,0,2.35,97.42,0.23,-0.936,426
R3,Route 3 West Side Connector,,Opera House,0,3.86,96.14,0.0,-0.631,466
R3,Route 3 West Side Connector,,85 South 700 East,0,0.0,100.0,0.0,-0.054,311
